left_context,Candidate_words,right_context,target_status
<start>,I,"frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
<start> I,frowned,"at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
<start> I frowned,at,"him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
<start> I frowned at,him.,"""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
<start> I frowned at him.,"""Isn't","sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't",sarcasm,"the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm",the,"opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the",opiate,"of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate",of,"the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of",the,"masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the","masses?""","""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?""","""You're","thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're",thinking,"of religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking",of,"religion,"" he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of","religion,""","he replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,""",he,"replied. ""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he",replied.,"""Sarcasm is the Xanax of the morally bereft. <end>",0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied.","""Sarcasm",is the Xanax of the morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm",is,the Xanax of the morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is",the,Xanax of the morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the",Xanax,of the morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax",of,the morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of",the,morally bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the",morally,bereft. <end>,0
"<start> I frowned at him. ""Isn't sarcasm the opiate of the masses?"" ""You're thinking of religion,"" he replied. ""Sarcasm is the Xanax of the morally",bereft.,<end>,0
<start>,"Fine,","it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine,",it’s,"decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s",decided.”,"Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.”",Vain,"resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain",resumed,"his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed",his,"stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his",stride.,"“I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his stride.",“I’ll,"do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll",do,"all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do",all,"the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all",the,"killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>",0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the","killing,",and you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing,",and,you do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and",you,do all the stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you",do,all the stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do",all,the stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all",the,stuff that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the",stuff,that an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff",that,an Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that",an,Avun-Riah does. Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an",Avun-Riah,does. Whatever the hell that is. <end>,1
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah",does.,Whatever the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does.",Whatever,the hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever",the,hell that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the",hell,that is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell",that,is. <end>,0
"<start> Fine, it’s decided.” Vain resumed his stride. “I’ll do all the killing, and you do all the stuff that an Avun-Riah does. Whatever the hell that",is.,<end>,0
<start>,What,time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What,time,is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time,is,it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is,it?”,“One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?”,“One,o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One,o'clock.”,I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.”,I,nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,1
<start> What time is it?” “One o'clock.” I,nearly,spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly,spit,out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit,out,some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
